GF_ID,Year_approx,Year_exact,Month,Day,Lake_name,Glacier_name,GL_ID,LakeDB_ID,G_ID,Lat_lake,Lon_lake,Elev_lake,Lat_impact,Lon_impact,Elev_impact,Impact_type,Lake_type,Transboundary,Repeat,Region_RGI,Region_HiMAP,Country,Province,River_Basin,Driver_lake,Driver_GLOF,Mechanism,Area,Volume,Discharge_water,Discharge_solid,Impact,Lives_total,Lives_male,Lives_female,Lives_disabilities,Injured_total,Injured_male,Injured_female,Injured_disabilities,Displaced_total,Displaced_male,Displaced_female,Displaced_disabilities,Livestock,Residential_destroyed,Commerical_destroyed,Residential_damaged,Commerical_damaged,Infra,Agricultural,Hydropower,Econ_damage,Sat_evidence,Ref_scientific,Ref_scientific_full,Ref_other,Remarks
470,2015,2015,7,NA,Unknown,Unnamed,No lake,NA,G071819E36230N,36.22,71.775,4068,36.192,71.672,2530,Observation,Water pocket,Y,N,14_1,8,Pakistan,Khyber Pakhtunkhwa,Arkary,Unknown,Unknown,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,(This study),,monitoring by AKAH,
471,2015,2015,7,NA,Bindo Gol,Bindo,Ephemeral,NA,G071865E36195N,36.174,71.898,4572,36.151,71.939,3263,Observation,Unknown,Y,Y,14_1,8,Pakistan,Khyber Pakhtunkhwa,Chitral,Unknown,Intense rainfall; high temperatures,Unknown,, , , ,,3, , , ,,,, ,,,,, ,+,,,,"Road , Power station, irrigation, water system",,,,,(This study),,https://www.thethirdpole.net/en/climate/glacier-floods-cause-humanitarian-crisis-in-chitral/; https://www.chitraltoday.net/2015/07/bindu-gol-flooding-glof-project-interventions-minimized-losses/,
472,2015,2015,7,23,Unnamed,Aksay,Not mapped,NA,G074556E42520N,42.528,74.5405,3637,42.552627,74.483331,2255,Deposit,Water pocket,N,Y,13_3,4,Kyrgyzstan,,Ala Archa,Unknown,Unknown,Unknown,4400,,,,,,,,,,,,,,,,,,,,,,,,,,,"(Zaginaev et al., 2016)","Zaginaev, V., Ballesteros-Cánovas, J.A., Erokhin, S., Matov, E., Petrakov, D., Stoffel, M., 2016. Reconstruction of glacial lake outburst floods in northern Tien Shan: Implications for hazard assessment. Geomorphology 269, 75–84. https://doi.org/10.1016/j.geomorph.2016.06.028",,
473,2015,2015,7,NA,Unknown,Gargoh,Ephemeral,NA,G074653E35983N,35.997077,74.665676,3887,NA,NA,NA,NA,Supraglacial,N,Y,14_2,9,Pakistan,Gilgit - Baltistan,Bagrot,Unknown,Unknown,Unknown,,,,,,,,,,,,,,,,,,,+,,,,,+,,,,(This study),,https://www.reuters.com/article/pakistan-glaciers-floods-idUSL8N14G0IB20151227; https://globalcryospherewatch.org/meetings/salekhard2016/presentations/3.1.3.j-K.Uddin-Pakistan%20cryospheric%20activities.pdf,
474,2015,2015,7,23,Lake number 1,Kargalinka,Not mapped,NA,G076853E42998N,43.0067,76.8477,3523,43.137,76.865,1350,Deposit,Supraglacial,N,Y,13_3,4,Kazakhstan,,Kargaly,Unknown,High temperatures,Subglacial tunnel,40000,325000,5,25,,,,,,76,,,,1000,,,,,,,127,,,,,,,"(This study; Medeu et al., 2022)","Medeu, A.R., Popov, N.V., Blagovechshenskiy, V.P., Askarova, M.A., Medeu, A.A., Ranova, S.U., Kamalbekova, A., Bolch, T., 2022. Moraine-dammed glacial lakes and threat of glacial debris flows in South-East Kazakhstan. Earth-Science Reviews 103999. https://doi.org/10.1016/j.earscirev.2022.103999",https://earthobservatory.nasa.gov/images/86300/glacier-lake-outburst-flood-near-almaty,
475,2015,2015,7,15,Kyagar,Unnamed,GL077181E35675N,"2, 3, 4",G077158E35562N,35.677371,77.190788,4880,37.982034,76.877846,1450,Observation,Ice dammed,N,Y,14_2,9,China,Xinjiang,Yarkant,Surging glacier,Unknown,Unknown,,51100000,,,,,,,,,,,,,,,,,,,,,,,,,,"(Round et al., 2017; Bazai et al., 2021)","Round, V., Leinss, S., Huss, M., Haemmig, C., Hajnsek, I., 2017. Surge dynamics and lake outbursts of Kyagar Glacier, Karakoram. The Cryosphere 11, 723–739. https://doi.org/10.5194/tc-11-723-2017; Bazai, N.A., Cui, P., Carling, P.A., Wang, H., Hassan, J., Liu, D., Zhang, G., Jin, W., 2021. Increasing glacial lake outburst flood hazard in response to surge glaciers in the Karakoram. Earth-Science Reviews 212, 103432. https://doi.org/10.1016/j.earscirev.2020.103432",,Lake developed in winter 2014 and expanded to 07/04/2015. By 07/04/2015 the peak lake volume before flood 9.83x106 m3 with a lake area 0.65km2. By 07/15/2015 the outburst flood volume reached 51.1 9.83x106 m3 (Round et al. 2017). The lake reformed during winter 2015
476,2015,2015,NA,NA,Merzbacher,Southern Inylshek,GL079841E42200N,2,G080193E42063N,42.196,79.847,3271,NA,NA,NA,NA,Ice dammed,N,Y,13_3,3,Kyrgyzstan,,Inylchek,Unknown,Unknown,Subglacial tunnel,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(Shangguan et al., 2017; Kingslake and Ng, 2013)","Shangguan, D., Ding, Y., Liu, S., Xie, Z., Pieczonka, T., Xu, J., Moldobekov, B., 2017. Quick Release of Internal Water Storage in a Glacier Leads to Underestimation of the Hazard Potential of Glacial Lake Outburst Floods From Lake Merzbacher in Central Tian Shan Mountains. Geophysical Research Letters 44, 9786–9795. https://doi.org/10.1002/2017GL074443; Kingslake, J., Ng, F., 2013. Quantifying the predictability of the timing of jökulhlaups from Merzbacher Lake, Kyrgyzstan. Journal of Glaciology 59, 805–818. https://doi.org/10.3189/2013JoG12J156",,
477,2015,2015,4,25,Dig Tsho,Langmoche,GL086586E27874N,2,G086569E27865N,27.874,86.594,4387,NA,NA,NA,NA,Moraine dammed,Y,Y,15_2,11,Nepal,Koshi,Dudh Koshi,Unknown,Ice avalanche,Unknown,,,,,,,,,,,,,,,,,,,,,,,Several bridges,,,,,"(Byers et al., 2022)","Byers, A.C., Shugar, D.H., Chand, M.B., Portocarrero, C., Shrestha, M., Rounce, D.R., Watanabe, T., 2022. Three Recent and Lesser-Known Glacier-Related Flood Mechanisms in High Mountain Environments. mred 42, A12–A22. https://doi.org/10.1659/MRD-JOURNAL-D-21-00045.1",,
478,2015,2015,5,25,Unknown,Lhotse,Ephemeral,NA,G086915E27923N,27.906,86.891,4978,27.90054,86.86313,4630,Observation,Supraglacial,Y,Y,15_2,11,Nepal,Koshi,Dudh Koshi,Unknown,Unknown,Supraglacial lake drainage,,345000,210,,,,,,,,,,,,,,,,,,,,"Loss of a pedestrian bridge, an outbuilding, and small amounts of floodwater in the courtyard of one lodge.",,,,,"(Rounce et al., 2017)","Round, V., Leinss, S., Huss, M., Haemmig, C., Hajnsek, I., 2017. Surge dynamics and lake outbursts of Kyagar Glacier, Karakoram. The Cryosphere 11, 723–739. https://doi.org/10.5194/tc-11-723-2017",,"3 landslide-like features began flowing down a south-facing slope, followed by large discharge water from three englacial conduits and one supraglacial stream"
479,2015,2015,NA,NA,Jin Co/Yindapu Co,Unnamed,GL087909E27951N,"2, 3, 4",G087888E27924N,27.951,87.908,5172,27.988,87.951,4886,Deposit,Moraine dammed,Y,Y,15_2,11,China,TAR,Pumqu,Unknown,Unknown,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(Veh et al., 2019)","Veh, G., Korup, O., von Specht, S., Roessner, S., Walz, A., 2019. Unchanged frequency of moraine-dammed glacial lake outburst floods in the Himalaya. Nature Climate Change 9, 379–383. https://doi.org/10.1038/s41558-019-0437-5",,GLOF predicted between 2015-10-09 and 2015-10-25 based on satellite image
